lp,system,doc_id,seg_id,heldout_rater,source,target,semantic_feature,boundary_feature,heldout_semantic,heldout_boundary,heldout_total,heldout_categories
zh-en,DeepMind.381,2,826,rater5,用来评估和排名各城市面对AI浪潮准备水平的4条标准包括前景、实现能力，资产基础和发展方向。,"The four criteria used to assess and rank cities' readiness to face the AI wave include prospects, realization ability, asset base and development direction.",0.0,0.05,0.0,15.1,15.1,"{""Fluency/Punctuation"": 1, ""Terminology/Inappropriate for context"": 3}"
zh-en,DiDi_NLP.401,2,826,rater5,用来评估和排名各城市面对AI浪潮准备水平的4条标准包括前景、实现能力，资产基础和发展方向。,"The four criteria used to evaluate and rank the readiness of cities to face the AI wave include prospects, realization capabilities, asset base and development direction.",0.0,0.05,0.0,15.1,15.1,"{""Fluency/Punctuation"": 1, ""Terminology/Inappropriate for context"": 3}"
zh-en,Huoshan_Translate.919,2,826,rater5,用来评估和排名各城市面对AI浪潮准备水平的4条标准包括前景、实现能力，资产基础和发展方向。,"The four criteria used to assess and rank the level of readiness of cities to face the AI wave include prospects, realization capabilities, asset base and development direction.",0.0,0.05,0.0,15.1,15.1,"{""Fluency/Punctuation"": 1, ""Terminology/Inappropriate for context"": 3}"
zh-en,OPPO.1422,2,826,rater5,用来评估和排名各城市面对AI浪潮准备水平的4条标准包括前景、实现能力，资产基础和发展方向。,"The four criteria used to assess and rank the readiness of cities to face the AI wave include outlook, realization capability, asset base and development direction.",0.0,0.05,0.0,15.1,15.1,"{""Fluency/Punctuation"": 1, ""Terminology/Inappropriate for context"": 3}"
zh-en,Tencent_Translation.1249,2,826,rater5,用来评估和排名各城市面对AI浪潮准备水平的4条标准包括前景、实现能力，资产基础和发展方向。,"The four criteria used to assess and rank the readiness of cities to face the AI wave include prospects, realization capabilities, asset base and development direction.",0.0,0.05,0.0,15.1,15.1,"{""Fluency/Punctuation"": 1, ""Terminology/Inappropriate for context"": 3}"
zh-en,THUNLP.1498,2,826,rater5,用来评估和排名各城市面对AI浪潮准备水平的4条标准包括前景、实现能力，资产基础和发展方向。,"The four criteria used to assess and rank the level of preparedness of cities to face the AI wave include prospect, realization ability, asset base and development direction.",0.0,0.05,0.0,15.1,15.1,"{""Fluency/Punctuation"": 1, ""Terminology/Inappropriate for context"": 3}"
zh-en,WeChat_AI.1525,2,826,rater5,用来评估和排名各城市面对AI浪潮准备水平的4条标准包括前景、实现能力，资产基础和发展方向。,"The four criteria used to assess and rank the readiness of cities to face the AI wave include prospects, realization ability, asset base and development direction.",0.0,0.05,0.0,15.1,15.1,"{""Fluency/Punctuation"": 1, ""Terminology/Inappropriate for context"": 3}"
zh-en,DeepMind.381,12,1623,rater5,在纳法被捕之前，曾担任埃及前军方参谋总长安楠发言人的霍斯尼遭到羁押。,"Before Nafa's arrest, Hosni, a former spokesman for Anand, Egypt's former military chief of staff, was detained.",0.0,15.0,5.0,15.0,20.0,"{""Accuracy/Mistranslation"": 1, ""Locale convention/Name format"": 3}"
zh-en,DiDi_NLP.401,12,1623,rater5,在纳法被捕之前，曾担任埃及前军方参谋总长安楠发言人的霍斯尼遭到羁押。,"Before Nafa was arrested, Hosni, who served as a spokesman for the former Egyptian military chief of staff An Nan, was detained.",0.0,15.0,5.0,15.0,20.0,"{""Accuracy/Mistranslation"": 1, ""Locale convention/Name format"": 3}"
zh-en,Human-B.0,10,1930,rater5,两部香港影片是陆以心导演的《Baby复仇记 》 、 黄庆勋导演的由影帝郭富城和影后杨千嬅主演的《麦路人 》 ， 一部大陆影片是尤行导演的《夏夜骑士 》 。,"Two Hong Kong films are BABY: The Secret Diary of A Mom To Be directed by Lu Yixin, as well as I’m Livin’it directed by Huang Qingxun, starring the movie king Guo Fucheng and the movie queen Yang Qianhua. One film from Mainland China is Summer Knight directed by You Hang.",0.0,15.0,10.0,15.0,25.0,"{""Accuracy/Addition"": 1, ""Accuracy/Mistranslation"": 1, ""Locale convention/Name format"": 3}"
zh-en,DiDi_NLP.401,5,1492,rater2,通沙万大使对河内市政府一直为老挝驻越大使馆的活动提供大力支持与帮助表示感谢，并相信尽管全球局势波动但越老关系仍将持续良好发展。,"Ambassador Tongsavan expressed gratitude to the Hanoi municipal government for its strong support and assistance for the activities of the Lao Embassy in Vietnam, and believed that despite the fluctuations in the global situation, Vietnam-Laos relations will continue to develop well.",0.0,5.5,0.0,15.0,15.0,"{""Fluency/Spelling"": 2, ""Style/Awkward"": 1}"
zh-en,THUNLP.1498,5,1492,rater2,通沙万大使对河内市政府一直为老挝驻越大使馆的活动提供大力支持与帮助表示感谢，并相信尽管全球局势波动但越老关系仍将持续良好发展。,"Ambassador Tong Shawan expressed his gratitude to the Hanoi Municipal Government for providing strong support and assistance to the activities of the Lao Embassy in Vietnam, and believed that despite the fluctuations of the global situation, the relations between the two countries will continue to develop well.",0.0,5.0,0.0,15.0,15.0,"{""Fluency/Spelling"": 1, ""Locale convention/Name format"": 1, ""Terminology/Inappropriate for context"": 1}"
zh-en,WeChat_AI.1525,5,1492,rater2,通沙万大使对河内市政府一直为老挝驻越大使馆的活动提供大力支持与帮助表示感谢，并相信尽管全球局势波动但越老关系仍将持续良好发展。,"Ambassador Tongshawan expressed his gratitude to the Hanoi Municipal Government for its strong support and assistance to the activities of the Lao Embassy in Vietnam, and believed that despite the fluctuations of the global situation, the relations between Vietnam and Laos will continue to develop well.",0.0,5.0,0.0,15.0,15.0,"{""Fluency/Spelling"": 1, ""Locale convention/Name format"": 1, ""Style/Awkward"": 1}"
zh-en,Online-B.1605,9,441,rater6,在对2019-2020年越南经济发展趋势做出预测时，越南国家经济社会预测中心副主任邓德英表示，在世界经济动荡的背景下，2019年越南经济呈现出较高的增长势头。,"When making predictions on the economic development trends of Vietnam in 2019-2020, Deng Deying, deputy director of the Vietnam National Economic and Social Forecasting Center, said that in the context of the turbulent world economy, Vietnam's economy will show a high growth momentum in 2019.",0.0,3.5,0.0,15.0,15.0,"{""Fluency/Grammar"": 1, ""Locale convention/Name format"": 1, ""Terminology/Inappropriate for context"": 1}"
zh-en,DiDi_NLP.401,9,441,rater6,在对2019-2020年越南经济发展趋势做出预测时，越南国家经济社会预测中心副主任邓德英表示，在世界经济动荡的背景下，2019年越南经济呈现出较高的增长势头。,"In forecasting the economic development trend of Vietnam in 2019-2020, Deng Deying, deputy director of the National Economic and Social Forecast Center of Vietnam, said that in the context of the turmoil in the world economy, the Vietnamese economy will show a high growth momentum in 2019.",0.0,1.5,0.0,15.0,15.0,"{""Fluency/Grammar"": 1, ""Locale convention/Name format"": 1, ""Terminology/Inappropriate for context"": 1}"
zh-en,OPPO.1422,9,441,rater6,在对2019-2020年越南经济发展趋势做出预测时，越南国家经济社会预测中心副主任邓德英表示，在世界经济动荡的背景下，2019年越南经济呈现出较高的增长势头。,"In forecasting the trend of Vietnam's economic development from 2019 to 2020, Deng Deying, deputy director of Vietnam's National Economic and Social Forecasting Center, said that against the backdrop of the world economic turmoil, Vietnam's economy will show a relatively high growth momentum in 2019.",0.0,1.5,0.0,15.0,15.0,"{""Fluency/Grammar"": 1, ""Locale convention/Name format"": 1, ""Terminology/Inappropriate for context"": 1}"
zh-en,DeepMind.381,14,1771,rater3,上半年，实现营业收入8.42亿元，同比增长46.50 % ； 归属于上市公司股东的净利润5623.24万元，同比增长16.46 % 。,"In the first half of the year, it realized operating income of RMB 842 million, an increase of 46.50% year-on-year; the net profit attributable to the shareholders of listed companies was RMB 56,232,400, an increase of 16.46% year-on-year.",0.0,1.0,0.0,15.0,15.0,"{""Fluency/Grammar"": 3}"
zh-en,Online-B.1605,3,1941,rater3,按规划，成都打造的“熊猫之都”由北湖片区、都江堰片区和龙泉山片区3个区域组成，面积达69平方公里。,"According to the plan, the ""Panda Capital"" created by Chengdu is composed of three areas: Beihu Area, Dujiangyan AreaArea and Longquan Mountain Area, covering an area of ​​69 square kilometers.",0.0,0.7000000000000001,1.0,15.0,16.0,"{""Accuracy/Mistranslation"": 1, ""Terminology/Inappropriate for context"": 3}"
zh-en,Huoshan_Translate.919,5,683,rater1,阮氏金银女士在授勋仪式上发表讲话时强调，越老两个民族之间密不可分的关系是从源远流长的历史进程中形成的，越南与老挝两国人民之间的良好传统友谊、始终如一以及无私的关系由胡志明主席和凯山·丰威汉主席亲手缔造和两党、两国历届领导和人民精心培育的，成为两国无价之宝。,"In her speech at the honours ceremony, Ms. Nguyen Thi Jinyin stressed that the inseparable relationship between the two ethnic groups was formed from a long history. The good traditional friendship, consistent and selfless relationship between the peoples of Vietnam and Laos was personally created by President Ho Chi Minh and President Kaishan Fung Weihan and carefully nurtured by the leaders and people of the two parties and the two countries. It has become a priceless treasure of the two countries.",0.0,11.0,0.0,13.0,13.0,"{""Fluency/Grammar"": 1, ""Fluency/Spelling"": 1, ""Locale convention/Name format"": 2, ""Style/Awkward"": 1}"
zh-en,WeChat_AI.1525,5,683,rater6,阮氏金银女士在授勋仪式上发表讲话时强调，越老两个民族之间密不可分的关系是从源远流长的历史进程中形成的，越南与老挝两国人民之间的良好传统友谊、始终如一以及无私的关系由胡志明主席和凯山·丰威汉主席亲手缔造和两党、两国历届领导和人民精心培育的，成为两国无价之宝。,"In her speech at the honoring ceremony, Ms. Nguyen Jinyin stressed that the inseparable relationship between the two peoples of Vietnam and Laos was formed from the long historical process. The goodgood traditional friendship, consistent and selfless relationship between the peoples of Vietnam and Laos was created by President Ho Chi Minh and President Keshan Fengweihan and carefully nurtured by the leaders and peoples of the two parties and the two countries, and has become a priceless treasure for the two countries.",0.0,5.5,0.0,13.0,13.0,"{""Fluency/Grammar"": 2, ""Fluency/Register"": 1, ""Locale convention/Name format"": 2}"
